Color	Weight	KindOfMaterial	StateOfAgregation	Location
gray	heavy	metal	solid	BlackArea
gray	middleweight	metal	solid	BlackArea
gray	light	metal	solid	GrayArea
brown	heavy	wooden	solid	BrownArea
brown	middleweight	wooden	solid	BrownArea
white	light	paper	solid	GreenArea
white	middleweight	paper	solid	GreenArea
red	middleweight	labeled	solid	RedArea
black	middleweight	labeled	liquid	RedArea
blue	heavy	water	liquid	BlueArea
yellow	middleweight	metal	liquid	YellowArea
blue	light	transparent	solid	BlueArea
